p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.00013,7.709717035293579,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.0001189999999999,14.015360116958618,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,32,0.000194,22.833515405654907,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.0001585,31.2725510597229,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.000125,38.82593607902527,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,8,80,0.0001485,47.15654802322388,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.000188,54.22911429405213,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.0001605,60.37932538986206,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,8,0.0003505,67.483145236969,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,20,0.0003725,74.4970645904541,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.0001415,81.35147356987,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.000245,89.36635327339172,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.0001625,96.39815425872804,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.0001435,103.00169348716736,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,16,0.0001695,111.18156337738036,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,8.999999999999999e-05,121.36498188972472,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,20,0.000135,128.42057585716248,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,0.0001325,135.31605052947998,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.0002379999999999,143.61009788513184,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,0.0002185,150.9217610359192,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,0.000134,157.810528755188,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,0.000138,164.80968618392944,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,4,0.000584,171.9627275466919,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,20,256,0.0001695,180.95892930030823,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,16,100,0.0001525,189.52534413337708,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,64,128,0.0001309999999999,198.3544557094574,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,4,0.000536,205.9504244327545,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,8,20,0.0001645,212.9302399158477,60
 , , ,20,50,128,0.0001264999999999,220.1574344635009,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,8,0.0002569999999999,228.1297876834869,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,0.0001264999999999,234.5222764015197,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,0.0001455,241.88927698135376,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.000127,249.1462399959564,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,8,8,0.0003465,256.4216830730438,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,50,0.0001295,262.99505257606506,60
 , , ,80,8,8,0.000141,268.9947671890259,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16,0.0001445,275.7786853313446,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,6.45e-05,283.83063197135925,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,0.000161,291.49323868751526,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,32,0.0001325,298.18873953819275,60
 , , ,16,32,100,0.0001275,304.30534863471985,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.0001345,311.2649705410004,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.0002755,318.9781279563904,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,256,0.000146,328.21352195739746,60
 , , ,128,8,16,0.000135,335.0841257572174,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,4,256,0.000137,343.84446382522583,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.000156,351.71472096443176,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.0001405,359.1532199382782,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.0002625,367.59681391716,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,32,128,0.0001495,376.42101430892944,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,8,0.000332,384.179217338562,60
 , , ,100,50,16,0.0001365,391.31780314445496,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,32,0.0001495,398.8397924900055,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,100,0.000132,407.6709153652191,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,0.0003455,414.3299822807312,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.0001325,420.7007007598877,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,0.000247,428.24340057373047,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,0.0001455,435.47574734687805,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,0.000159,441.783858537674,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,0.0001664999999999,448.30871772766113,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,0.0001435,455.4030137062073,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,256,0.0001405,462.30133867263794,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,20,0.0001394999999999,469.0051968097687,60
 , , ,64,64,50,0.0001305,475.5767855644226,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,20,0.00023,484.333797454834,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,7.3e-05,492.67530703544617,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,0.0001799999999999,499.0650963783264,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,80,0.000186,506.9729652404785,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,0.00014,513.9734580516815,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.000137,520.229608297348,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128,0.000141,527.1989488601685,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,256,0.0001585,534.8137979507446,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,20,0.000103,543.4149298667908,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.0001495,550.2953362464905,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,0.0001575,556.6249783039093,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,8,0.000183,565.0763893127441,60
 , , ,64,2048,50,0.0001385,571.6878952980042,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,64,0.0001325,578.5311892032623,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,50,80,0.000191,586.8536553382874,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,20,4,0.0001864999999999,593.4588787555695,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,50,0.0001374999999999,600.9807639122009,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,16,0.0001325,608.2767703533173,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,64,6.25e-05,615.503889799118,60
 , , ,64,128,100,0.0001275,621.4940328598022,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,0.000144,628.300226688385,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.0001385,635.3871858119965,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,256,0.0001535,643.0815019607544,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,64,8,0.000157,650.3107645511627,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,0.0001235,656.7773110866547,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,100,4,0.000195,662.8381271362305,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,16,0.000133,670.2156898975372,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,8,0.0001754999999999,678.8690721988678,60
 , , ,8,50,16,0.0001285,685.290744304657,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,256,0.0001725,693.4470686912537,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,0.000157,701.1574559211731,60
 , , ,4,2048,80,0.0001335,707.761440038681,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,128,0.000156,716.1007478237152,60
